tract,cems_percentile,utems_percentile,mems_percentile,cancer_twe_percentile,chronic_twe_percentile,acute_twe_percentile
06001400100,13.8166894665,0,13.8166894665,42.2708618331,35.7729138167,31.1901504788
06001400200,4.44596443228,0,4.44596443228,4.30916552668,2.25718194254,13.2010943912
06001400300,51.7783857729,0,51.5047879617,38.6456908345,57.3187414501,65.1846785226
06001400400,6.01915184679,0,6.01915184679,5.33515731874,3.83036935705,14.6374829001
06001400500,50.0683994528,0,49.7948016416,30.779753762,47.9480164159,56.1559507524
06001400700,61.2859097127,0,60.8755129959,56.2243502052,56.0875512996,61.7647058824
06001400800,42.8180574555,0,42.6128590971,22.024623803,34.268125855,42.6128590971
06001401000,77.4281805746,0,76.8809849521,96.3748290014,90.0136798906,82.1477428181
06001401100,67.0998632011,0,66.6894664843,67.7154582763,51.3679890561,48.3584131327
06001401200,64.6374829001,0,64.2270861833,22.366621067,35.4309165527,43.2968536252
06001401300,88.5088919289,0,88.0300957592,92.1340629275,88.8508891929,87.5512995896
06001401400,63.6114911081,0,63.2010943912,30.3693570451,49.7948016416,58.5499316005
06001401500,73.5294117647,0,72.9822161423,40.7660738714,29.5485636115,37.3461012312
06001401600,85.4309165527,0,85.0205198358,98.9056087551,96.853625171,95.4172366621
06001401700,97.8112175103,0,97.4692202462,98.8372093023,99.2476060192,99.1792065663
06001402200,34.6785225718,0,34.5417236662,49.9316005472,30.5745554036,29.8905608755
06001402400,49.9316005472,0,49.658002736,44.2544459644,27.8385772914,32.2845417237
06001402500,17.4418604651,0,17.4418604651,60.1915184679,22.9822161423,0
06001402600,33.1737346101,0,33.0369357045,22.2982216142,35.2941176471,43.0916552668
06001402700,60.4651162791,0,60.0547195622,45.2120383037,67.7154582763,74.2134062927
06001402801,80.3009575923,0,79.7537619699,88.5772913817,84.268125855,78.5909712722
06001402802,72.1614227086,0,71.682626539,74.0766073871,58.4815321477,47.195622435
06001402900,80.9165526676,0,80.3693570451,93.4336525308,83.926128591,52.6675786594
06001403000,72.9822161423,0,72.5034199726,90.1504787962,77.633378933,33.7209302326
06001403100,87.07250342,0,86.6621067031,85.1573187415,76.5389876881,72.5034199726
06001403301,45.0752393981,0,44.8700410397,56.4295485636,20.3830369357,13.9534883721
06001403302,77.1545827633,0,76.6073871409,72.2298221614,63.269493844,57.5923392613
06001403401,5.95075239398,0,5.95075239398,31.46374829,11.6963064295,10.5335157319
06001403402,42.4076607387,0,42.2024623803,29.7537619699,18.6046511628,25.1025991792
06001403501,82.6949384405,0,82.2161422709,81.121751026,74.6922024624,71.4774281806
06001403502,2.46238030096,0,2.46238030096,3.146374829,1.23119015048,11.3543091655
06001403600,32.6949384405,0,32.4897400821,21.5458276334,34.3365253078,42.2024623803
06001403701,6.77154582763,0,6.77154582763,8.68673050616,10.9439124487,18.6046511628
06001403702,48.9056087551,0,48.6320109439,38.7140902873,68.878248974,79.9589603283
06001403800,27.1545827633,0,27.0177838577,16.8946648427,26.6757865937,34.952120383
06001403900,11.1491108071,0,11.1491108071,42.4076607387,14.9110807114,12.9958960328
06001404000,29.5485636115,0,29.3433652531,18.2626538988,29.6853625171,38.098495212
06001404101,41.6552667579,0,41.4500683995,69.9042407661,94.5280437756,93.2968536252
06001404102,87.8932968536,0,87.414500684,81.805745554,64.3638850889,26.5389876881
06001404200,20.7250341997,0,20.7250341997,41.8604651163,85.6361149111,81.7373461012
06001404300,26.5389876881,0,26.4021887825,62.585499316,34.8153214774,24.4186046512
06001404400,36.1149110807,0,35.9781121751,14.9110807114,24.1450068399,32.1477428181
06001404501,9.3023255814,0,9.3023255814,49.3844049248,17.3050615595,0
06001404502,51.0259917921,0,50.7523939808,53.830369357,44.8016415869,47.3324213406
06001404600,57.8659370725,0,57.5239398085,60.9439124487,65.8002735978,69.6990424077
06001404900,39.4664842681,0,39.2612859097,28.0437756498,43.365253078,50.6155950752
06001405000,36.7989056088,0,36.6621067031,25.2393980848,39.1244870041,47.4008207934
06001405100,26.6757865937,0,26.5389876881,16.5526675787,26.0601915185,34.3365253078
06001405302,11.4227086183,0,11.4227086183,42.2024623803,15.389876881,15.389876881
06001405401,27.2229822161,0,27.0861833105,16.8946648427,26.7441860465,34.952120383
06001405402,0.136798905609,0,0.136798905609,3.69357045144,2.05198358413,13.269493844
06001405500,0.752393980848,0,0.752393980848,6.292749658,1.64158686731,0
06001405600,43.9808481532,0,43.7756497948,32.0109439124,48.9056087551,56.9083447332
06001405700,74.2818057456,0,73.7346101231,52.6675786594,57.3871409029,63.9534883721
06001405902,50,0,49.7264021888,0,10.6703146375,20.5198358413
06001406000,96.4432284542,0,96.1012311902,76.7441860465,80.2325581395,83.5841313269
06001406100,85.2941176471,0,84.8837209302,61.1491108071,69.3570451436,75.512995896
06001406202,53.146374829,0,52.8727770178,38.5088919289,19.6306429549,24.3502051984
06001406300,8.96032831737,0,8.96032831737,44.3228454172,16.6894664843,16.3474692202
06001406500,29.8905608755,0,29.6853625171,18.6730506156,30.779753762,38.8508891929
06001406601,31.8741450068,0,31.6005471956,20.5198358413,33.1053351573,40.9712722298
06001406602,26.8125854993,0,26.6757865937,12.5170998632,21.2038303694,28.2489740082
06001406700,23.4610123119,0,23.3242134063,0,0,0
06001406800,23.7346101231,0,23.5978112175,14.2270861833,22.9138166895,30.7113543092
06001406900,34.268125855,0,34.1313269494,23.1190150479,36.3201094391,44.5280437756
06001407000,65.2530779754,0,64.8426812585,49.7264021888,72.8454172367,77.8385772914
06001407101,28.7277701778,0,28.5909712722,0,10.6703146375,20.4514363885
06001407102,20.2462380301,0,20.2462380301,10.9439124487,18.9466484268,25.9917920657
06001407200,71.8878248974,0,71.4090287278,33.5157318741,52.1887824897,62.3803009576
06001407300,96.9220246238,0,96.6484268126,94.39124487,92.6128590971,90.218878249
06001407400,32.2161422709,0,32.0109439124,16.1422708618,7.38714090287,0
06001407600,1.84678522572,0,1.84678522572,12.7906976744,6.01915184679,0
06001407800,75.5813953488,0,75.0341997264,44.6648426813,54.1039671683,63.7482900137
06001408000,46.3748290014,0,46.169630643,71.2722298222,60.2599179207,55.6771545828
06001408100,7.66073871409,0,7.66073871409,36.2517099863,13.4746922025,0
06001408200,40.4924760602,0,40.2872777018,29.2065663475,44.7332421341,51.9151846785
06001408300,28.8645690834,99.5896032832,95.1436388509,80.6429548564,76.6073871409,66.4842681259
06001408600,53.7619699042,0,53.488372093,86.730506156,97.4692202462,96.6484268126
06001408700,11.6279069767,0,11.6279069767,0,2.87277701778,14.3638850889
06001408800,96.853625171,0,96.511627907,5.95075239398,19.4254445964,28.4541723666
06001408900,90.4240766074,0,90.0136798906,42.7496580027,41.5184678523,39.7400820793
06001409000,93.9808481532,99.7264021888,98.0164158687,96.4432284542,97.6060191518,96.7852257182
06001409100,1.77838577291,0,1.77838577291,3.83036935705,1.77838577291,12.4487004104
06001409200,60.0547195622,0,59.6443228454,4.10396716826,36.1149110807,22.1614227086
06001409300,60.3283173735,0,59.9179206566,15.8686730506,60.7387140903,50.4103967168
06001409400,82.0109439124,0,81.46374829,20.3830369357,29.2065663475,38.3720930233
06001409500,71.9562243502,0,71.4774281806,24.2818057456,44.39124487,59.1655266758
06001409600,13.8850889193,0,13.8850889193,44.5280437756,15.731874145,0
06001409700,66.2790697674,0,65.8686730506,12.7222982216,32.8317373461,42.7496580027
06001409800,30.779753762,0,30.5745554036,39.6032831737,34.4733242134,39.6716826265
06001409900,31.6005471956,0,31.3953488372,29.5485636115,35.3625170999,41.5184678523
06001410000,15.2530779754,0,15.2530779754,65.1162790698,29.2749658003,11.5595075239
06001410100,42.0656634747,0,41.8604651163,38.098495212,46.853625171,54.3775649795
06001410300,35.4993160055,0,35.3625170999,23.9398084815,37.9616963064,46.0328317373
06001410400,7.18194254446,0,7.18194254446,14.0218878249,6.36114911081,0
06001410500,56.1559507524,0,55.8139534884,62.3803009576,30.3009575923,21.4774281806
06001420100,34.7469220246,0,34.610123119,7.59233926129,16.8946648427,26.4705882353
06001420302,42.4760601915,0,42.2708618331,48.2216142271,36.2517099863,39.5348837209
06001420401,9.71272229822,0,9.71272229822,44.8016415869,15.8002735978,0
06001420402,50.4787961696,0,50.2051983584,21.9562243502,17.9206566347,25.2393980848
06001420500,70.9302325581,0,70.4514363885,37.414500684,59.5075239398,68.1258549932
06001421300,34.8153214774,0,34.6785225718,39.8084815321,37.756497948,44.4596443228
06001421400,35.4309165527,0,35.2941176471,26.8125854993,38.3036935705,45.9644322845
06001421500,7.7975376197,0,7.7975376197,33.4473324213,12.4487004104,0
06001421700,14.1586867305,0,14.1586867305,5.74555403557,6.63474692202,18.2626538988
06001421900,81.7373461012,0,81.1901504788,24.4186046512,60.4651162791,70.5882352941
06001422000,96.2380300958,0,95.8960328317,93.9124487004,92.1340629275,95.4856361149
06001422100,60.8071135431,0,60.3967168263,51.2995896033,65.4582763338,70.6566347469
06001422200,48.7688098495,0,48.4952120383,0,14.7742818057,23.0506155951
06001422300,19.8358413133,0,19.8358413133,10.5335157319,18.53625171,25.3077975376
06001422400,97.537619699,0,97.2640218878,94.6648426813,96.3748290014,97.0588235294
06001422800,21.9562243502,0,21.8878248974,49.7948016416,28.5909712722,27.3597811218
06001422901,71.7510259918,0,71.2722298222,55.8139534884,35.1573187415,35.8413132695
06001422902,25.7181942544,0,25.5813953488,84.0629274966,63.2010943912,0
06001423000,35.8413132695,0,35.7045143639,52.3255813953,42.0656634747,45.1436388509
06001423100,32.9001367989,0,32.6949384405,46.9220246238,44.6648426813,46.2380300958
06001423200,41.5868673051,0,41.3816689466,58.0711354309,46.9904240766,48.2900136799
06001423500,50.683994528,0,50.4103967168,68.6046511628,59.3707250342,58.2079343365
06001423601,47.4692202462,0,47.195622435,28.8645690834,44.1176470588,51.5047879617
06001423700,38.2352941176,0,38.0300957592,41.3816689466,28.5225718194,30.5745554036
06001423800,62.1067031464,0,61.6963064295,25.4445964432,44.5280437756,52.8727770178
06001423901,61.0123119015,0,60.6019151847,27.0177838577,45.7592339261,54.5143638851
06001423902,66.3474692202,0,65.9370725034,67.9206566347,65.1846785226,58.4815321477
06001424002,71.340629275,0,70.8618331053,27.7017783858,25.9917920657,35.8413132695
06001425101,67.2366621067,0,66.8262653899,77.2229822161,68.194254446,62.585499316
06001425102,64.2954856361,0,63.8850889193,66.073871409,68.9466484268,80.5061559508
06001425103,91.1764705882,0,90.7660738714,86.1833105335,83.0369357045,85.4309165527
06001425104,76.4021887825,0,75.8549931601,90.4924760602,94.8016415869,92.7496580027
06001426100,22.9138166895,0,22.8454172367,13.5430916553,21.8878248974,29.3433652531
06001426200,22.2982216142,0,22.2298221614,12.8590971272,21.340629275,28.5225718194
